metric,value
n_samples,47
n_points,2444
plain_mae,4.0404986198473285
weighted_mae,4.036080603865324
bias,0.7299279026723727
rmse,5.740546169185182
pearson_r,0.5977963383272022
r2,0.3573604621175229
slope,0.4100735708365475
per_eye_corr,0.44585835483143776

sector_id,sector,mae,n_points
0,Central-Superior,3.7165331066922938,188
1,Central-Inferior,3.920300785531389,188
2,Superonasal,4.486754852497107,329
3,Superior-arcuate,4.124618643538115,376
4,Inferonasal,4.601897444043841,329
5,Inferior-arcuate,3.5421276904167014,376
6,Nasal-periphery,4.392528490394565,282
7,Temporal-wedge,3.5311106216717274,376

gt_sensitivity_bin,mae,n_points
0-10dB,12.415009377337991,160
10-20dB,5.706988368068342,421
20-30dB,2.6934154502399776,1737
30-36dB,3.6653981642289595,66
deep(<16),9.721630510579736,386
preserved(>=16),2.9749413264446516,2058

per_eye_severity_group,mae,n_eyes
severe(<16),7.487823089891738,7
moderate(16-26),3.541463728265448,35
early(>26),2.707488602858324,5
